,link,files
0,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,bower.json
1,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,dist/amd/aurelia-framework.js.map
2,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,dist/commonjs/aurelia-framework.js.map
3,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,dist/es2015/aurelia-framework.js.map
4,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,dist/es2017/aurelia-framework.js.map
5,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,dist/native-modules/aurelia-framework.js.map
6,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,dist/system/aurelia-framework.js.map
7,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,doc/CHANGELOG.md
8,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,doc/api.json
9,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,package-lock.json
10,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,package.json
11,https://github.com/aurelia/framework/commit/17699b730b785d0cea4cadd7cc66a155ff01a95d,src/framework-configuration.ts
12,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,README.md
13,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,doc/MAINTAINER.md
14,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,doc/bower-version.js
15,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,gulpfile.js
16,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,README.md
17,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,doc/MAINTAINER.md
18,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,doc/bower-version.js
19,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,gulpfile.js
20,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,package-lock.json
21,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,package.json
22,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,rollup.config.js
23,https://github.com/aurelia/framework/commit/78102fdc3ecb52be5bc3cec998025f4fa8510856,src/framework-configuration.ts
24,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,dist/aurelia-framework.d.ts
25,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,dist/index.d.ts
26,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,dist/types/aurelia-framework.d.ts
27,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,package-lock.json
28,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,package.json
29,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,src/aurelia-framework.ts
30,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,src/aurelia.ts
31,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,src/framework-configuration.ts
32,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,tsconfig.json
33,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,dist/aurelia-framework.d.ts
34,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,dist/index.d.ts
35,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,dist/types/aurelia-framework.d.ts
36,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,package-lock.json
37,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,package.json
38,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,src/aurelia-framework.ts
39,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,src/aurelia.ts
40,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,src/framework-configuration.ts
41,https://github.com/aurelia/framework/commit/45bbae48eea46688a1a8e308bbd54f1ad354b68b,tsconfig.json
42,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,.eslintrc.json
43,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,.github/ISSUE_TEMPLATE.md
44,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,.github/workflows/main.yml
45,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,.gitignore
46,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,build/args.js
47,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,build/babel-options.js
48,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,build/paths.js
49,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,build/tasks/build.js
50,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,build/tasks/clean.js
51,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,build/tasks/dev.js
52,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,build/tasks/doc.js
53,https://github.com/aurelia/framework/commit/d1ad4de755e6d74dba09b4573e386179187797de,build/tasks/lint.js
