,link,files
0,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,.eslintrc.js
1,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,babel.config.js
2,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,examples/counter/App.js
3,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,examples/i18n/App.js
4,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,examples/index.js
5,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,examples/theming/App.js
6,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,examples/typescript/App.tsx
7,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,examples/typescript/package.json
8,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,examples/wizard-form/App.js
9,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,examples/yarn.lock
10,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,jest.config.js
11,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,package.json
12,https://github.com/diegohaz/constate/commit/8680383d1f4a2e4a1b656ffb944b9d0777de245d,rollup.config.js
13,https://github.com/diegohaz/constate/commit/c95eccddd1a89d0336fae40e70c531d85719b9fb,.eslintrc.js
14,https://github.com/diegohaz/constate/commit/c95eccddd1a89d0336fae40e70c531d85719b9fb,jest.config.js
15,https://github.com/diegohaz/constate/commit/c95eccddd1a89d0336fae40e70c531d85719b9fb,package.json
16,https://github.com/diegohaz/constate/commit/c95eccddd1a89d0336fae40e70c531d85719b9fb,.eslintrc.js
17,https://github.com/diegohaz/constate/commit/c95eccddd1a89d0336fae40e70c531d85719b9fb,jest.config.js
18,https://github.com/diegohaz/constate/commit/c95eccddd1a89d0336fae40e70c531d85719b9fb,package.json
19,https://github.com/diegohaz/constate/commit/c95eccddd1a89d0336fae40e70c531d85719b9fb,yarn.lock
20,https://github.com/diegohaz/constate/commit/127b8ca231c7190570a8945bd26b24c77646f6a9,examples/theming/package.json
21,https://github.com/diegohaz/constate/commit/127b8ca231c7190570a8945bd26b24c77646f6a9,examples/typescript/package.json
22,https://github.com/diegohaz/constate/commit/127b8ca231c7190570a8945bd26b24c77646f6a9,examples/yarn.lock
23,https://github.com/diegohaz/constate/commit/127b8ca231c7190570a8945bd26b24c77646f6a9,jest.config.js
24,https://github.com/diegohaz/constate/commit/127b8ca231c7190570a8945bd26b24c77646f6a9,package.json
25,https://github.com/diegohaz/constate/commit/127b8ca231c7190570a8945bd26b24c77646f6a9,test/index.test.tsx
26,https://github.com/diegohaz/constate/commit/1b6f7a652677e7b45d2d21b4280184f83991a600,jest.config.js
27,https://github.com/diegohaz/constate/commit/1b6f7a652677e7b45d2d21b4280184f83991a600,jest.setup.js
28,https://github.com/diegohaz/constate/commit/e02fb9463ef63f03ccec72d626e59ea72f90b31e,jest.config.js
29,https://github.com/diegohaz/constate/commit/6608247ed10a6edb641f9bfb9a7c60c2e76fcb91,jest.config.js
30,https://github.com/diegohaz/constate/commit/6608247ed10a6edb641f9bfb9a7c60c2e76fcb91,package.json
31,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,jest.config.js
32,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/createContext.tsx
33,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/createUseContextEffect.ts
34,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/createUseContextKey.ts
35,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/createUseContextReducer.ts
36,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/createUseContextState.ts
37,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/utils.ts
38,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/utils/parseContextKey.ts
39,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/utils/redefineState.ts
40,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/utils/types.ts
41,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/utils/useDevtools.ts
42,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/utils/useHashContext.ts
43,https://github.com/diegohaz/constate/commit/8bc2112d9a47307990a724e918439e1360e38816,src/utils/useInitialState.ts
44,https://github.com/diegohaz/constate/commit/0251378ca60f2688f65f193fe984f411fad03424,jest.config.js
45,https://github.com/diegohaz/constate/commit/0251378ca60f2688f65f193fe984f411fad03424,src/utils.ts
46,https://github.com/diegohaz/constate/commit/5ed6cc2dac6b49ada5aed90ecc7eae4b2e726a5a,README.md
