,link,files
0,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,.eslintrc.json
1,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,package-lock.json
2,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,package.json
3,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,src/auth.ts
4,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,src/images/generate.ts
5,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,src/images/mathjax.ts
6,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,.eslintignore
7,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,.eslintrc.json
8,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,.prettierrc.js
9,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,bin/md2gslides.js
10,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,CHANGELOG.md
11,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,README.md
12,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,bin/md2gslides.js
13,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,examples/example.md
14,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,package.json
15,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,src/layout/generic_layout.ts
16,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,src/layout/match_layout.ts
17,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,src/parser/env.ts
18,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,.babelrc
19,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,.eslintrc.json
20,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,.prettierrc.js
21,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,bin/md2gslides.js
22,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,package.json
