,link,files
0,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,.eslintrc.json
1,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,package-lock.json
2,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,package.json
3,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,src/auth.ts
4,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,src/images/generate.ts
5,https://github.com/googleworkspace/md2googleslides/commit/928ef4ecb3f88c0d5ef3008a8e0f14e727ad54f8,src/images/mathjax.ts
6,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,.eslintignore
7,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,.eslintrc.json
8,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,.prettierrc.js
9,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,bin/md2gslides.js
10,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,CHANGELOG.md
11,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,README.md
12,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,bin/md2gslides.js
13,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,examples/example.md
14,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,package.json
15,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,src/layout/generic_layout.ts
16,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,src/layout/match_layout.ts
17,https://github.com/googleworkspace/md2googleslides/commit/ce1661cf4db612324d82a23906a9d698ccb3b16a,src/parser/env.ts
18,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,.babelrc
19,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,.eslintrc.json
20,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,.prettierrc.js
21,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,bin/md2gslides.js
22,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,package.json
23,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/auth.ts
24,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/extract_slides.js
25,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/generate_image.js
26,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/images/generate.ts
27,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/images/mathjax.ts
28,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/images/probe.ts
29,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/images/svg.ts
30,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/images/upload.ts
31,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/layout/generic_layout.ts
32,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/layout/match_layout.ts
33,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/layout/presentation_helpers.ts
34,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/match_layout.js
35,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/parser/css.ts
36,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/parser/env.ts
37,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/parser/extract_slides.ts
38,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/parser/parser.ts
39,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/parser/syntax_highlight.ts
40,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/presentation.js
41,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/slide_generator.ts
42,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/slides.ts
43,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,src/utils.ts
44,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,test/auth.spec.ts
45,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,test/extract_slides.spec.ts
46,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,test/generic_layout.spec.js
47,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,test/generic_layout.spec.ts
48,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,test/match_layout.spec.js
49,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,test/match_layout.spec.ts
50,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,test/register.js
51,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,test/slide_generator.spec.ts
