,link,files
0,https://github.com/googleworkspace/md2googleslides/commit/7e1ee73d4c3135cdce455996ba3e18093f1e8e12,package-lock.json
1,https://github.com/googleworkspace/md2googleslides/commit/7e1ee73d4c3135cdce455996ba3e18093f1e8e12,package.json
2,https://github.com/googleworkspace/md2googleslides/commit/7e1ee73d4c3135cdce455996ba3e18093f1e8e12,src/utils.ts
3,https://github.com/googleworkspace/md2googleslides/commit/7e1ee73d4c3135cdce455996ba3e18093f1e8e12,yarn.lock
4,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,.eslintignore
5,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,.eslintrc.json
6,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,.prettierrc.js
7,https://github.com/googleworkspace/md2googleslides/commit/208605f5af67b16bf9530b7dd5f815d2eb9e7c96,bin/md2gslides.js
8,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,src/auth.ts
9,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,src/parser/css.ts
10,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,src/parser/env.ts
11,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,src/parser/parser.ts
12,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,src/parser/syntax_highlight.ts
13,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,src/utils.ts
14,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,test/auth.spec.ts
15,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,test/extract_slides.spec.ts
16,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,test/generic_layout.spec.ts
17,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,test/match_layout.spec.ts
18,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,test/register.js
19,https://github.com/googleworkspace/md2googleslides/commit/7810327d3f993374f4a0d5360825df0103d0db2c,test/slide_generator.spec.ts
20,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,.babelrc
21,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,.eslintrc.json
22,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,.prettierrc.js
23,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,bin/md2gslides.js
24,https://github.com/googleworkspace/md2googleslides/commit/828a918dbbae948002086668f18de96f6964d079,package.json
