,link,files
0,https://github.com/pop-os/shell/commit/aaf86e40e047fecbba2916b9b737037d20e0188d,schemas/org.gnome.shell.extensions.pop-shell.gschema.xml
1,https://github.com/pop-os/shell/commit/aaf86e40e047fecbba2916b9b737037d20e0188d,src/panel_settings.ts
2,https://github.com/pop-os/shell/commit/aaf86e40e047fecbba2916b9b737037d20e0188d,schemas/org.gnome.shell.extensions.pop-shell.gschema.xml
3,https://github.com/pop-os/shell/commit/aaf86e40e047fecbba2916b9b737037d20e0188d,src/panel_settings.ts
4,https://github.com/pop-os/shell/commit/ae9f5056c8a96d02d9fab91abadaf6f9587c053e,schemas/org.gnome.shell.extensions.pop-shell.gschema.xml
5,https://github.com/pop-os/shell/commit/ae9f5056c8a96d02d9fab91abadaf6f9587c053e,src/panel_settings.ts
6,https://github.com/pop-os/shell/commit/3c94a3733cac1c2294acbe19799d7117f6e14782,dark.css
7,https://github.com/pop-os/shell/commit/3c94a3733cac1c2294acbe19799d7117f6e14782,highcontrast.css
8,https://github.com/pop-os/shell/commit/3c94a3733cac1c2294acbe19799d7117f6e14782,light.css
9,https://github.com/pop-os/shell/commit/3c94a3733cac1c2294acbe19799d7117f6e14782,schemas/org.gnome.shell.extensions.pop-shell.gschema.xml
10,https://github.com/pop-os/shell/commit/3c94a3733cac1c2294acbe19799d7117f6e14782,src/panel_settings.ts
11,https://github.com/pop-os/shell/commit/3c94a3733cac1c2294acbe19799d7117f6e14782,src/settings.ts
12,https://github.com/pop-os/shell/commit/3c94a3733cac1c2294acbe19799d7117f6e14782,src/window.ts
13,https://github.com/pop-os/shell/commit/a317816d02dd2cb20d31aeca81bf09eccc63e370,dark.css
14,https://github.com/pop-os/shell/commit/a317816d02dd2cb20d31aeca81bf09eccc63e370,highcontrast.css
15,https://github.com/pop-os/shell/commit/a317816d02dd2cb20d31aeca81bf09eccc63e370,light.css
16,https://github.com/pop-os/shell/commit/a317816d02dd2cb20d31aeca81bf09eccc63e370,src/panel_settings.ts
17,https://github.com/pop-os/shell/commit/e83443e96ba914f3ef990e3e410a0dbe39f11c58,Makefile
18,https://github.com/pop-os/shell/commit/e83443e96ba914f3ef990e3e410a0dbe39f11c58,scripts/transpile.sh
19,https://github.com/pop-os/shell/commit/e83443e96ba914f3ef990e3e410a0dbe39f11c58,src/extension.ts
20,https://github.com/pop-os/shell/commit/e83443e96ba914f3ef990e3e410a0dbe39f11c58,src/panel_settings.ts
21,https://github.com/pop-os/shell/commit/e83443e96ba914f3ef990e3e410a0dbe39f11c58,src/window.ts
22,https://github.com/pop-os/shell/commit/234265710965fa281a5e8a315cba93b777a7fb09,src/panel_settings.ts
23,https://github.com/pop-os/shell/commit/234265710965fa281a5e8a315cba93b777a7fb09,src/utils.ts
24,https://github.com/pop-os/shell/commit/7b7e0645c8ccacd6bf713979de081c0709e6de91,src/extension.ts
25,https://github.com/pop-os/shell/commit/7b7e0645c8ccacd6bf713979de081c0709e6de91,src/panel_settings.ts
26,https://github.com/pop-os/shell/commit/05e531ecfc9c0414ac5b6c2c7196a62c2aa13f5d,src/panel_settings.ts
27,https://github.com/pop-os/shell/commit/a11d3c34db01987bb716b8b127b2b889130a4fc1#comments,Makefile
28,https://github.com/pop-os/shell/commit/a11d3c34db01987bb716b8b127b2b889130a4fc1#comments,src/config.ts
29,https://github.com/pop-os/shell/commit/a11d3c34db01987bb716b8b127b2b889130a4fc1#comments,src/dialog_add_exception.ts
30,https://github.com/pop-os/shell/commit/a11d3c34db01987bb716b8b127b2b889130a4fc1#comments,src/dialog_launcher.ts
31,https://github.com/pop-os/shell/commit/9b51ccb7c486359845c65a443b5552dd6cd0747d,Makefile
32,https://github.com/pop-os/shell/commit/9b51ccb7c486359845c65a443b5552dd6cd0747d,scripts/transpile.sh
33,https://github.com/pop-os/shell/commit/9b51ccb7c486359845c65a443b5552dd6cd0747d,src/color_dialog/src/main.ts
34,https://github.com/pop-os/shell/commit/9b51ccb7c486359845c65a443b5552dd6cd0747d,src/color_dialog/src/mod.d.ts
35,https://github.com/pop-os/shell/commit/9b51ccb7c486359845c65a443b5552dd6cd0747d,src/color_dialog/tsconfig.json
36,https://github.com/pop-os/shell/commit/9b51ccb7c486359845c65a443b5552dd6cd0747d,src/mod.d.ts
37,https://github.com/pop-os/shell/commit/9b51ccb7c486359845c65a443b5552dd6cd0747d,src/panel_settings.ts
38,https://github.com/pop-os/shell/commit/52b6200e180fe033fbf8d7dd7c0f218130ec05c1,schemas/org.gnome.shell.extensions.pop-shell.gschema.xml
39,https://github.com/pop-os/shell/commit/52b6200e180fe033fbf8d7dd7c0f218130ec05c1,src/config.ts
40,https://github.com/pop-os/shell/commit/52b6200e180fe033fbf8d7dd7c0f218130ec05c1,src/extension.ts
41,https://github.com/pop-os/shell/commit/52b6200e180fe033fbf8d7dd7c0f218130ec05c1,src/forest.ts
42,https://github.com/pop-os/shell/commit/52b6200e180fe033fbf8d7dd7c0f218130ec05c1,src/lib.ts
43,https://github.com/pop-os/shell/commit/52b6200e180fe033fbf8d7dd7c0f218130ec05c1,src/log.ts
44,https://github.com/pop-os/shell/commit/52b6200e180fe033fbf8d7dd7c0f218130ec05c1,src/panel_settings.ts
45,https://github.com/pop-os/shell/commit/52b6200e180fe033fbf8d7dd7c0f218130ec05c1,src/prefs.ts
46,https://github.com/pop-os/shell/commit/52b6200e180fe033fbf8d7dd7c0f218130ec05c1,src/settings.ts
47,https://github.com/pop-os/shell/commit/cc00d2fe47bfe2ac128c35a18d649c8899aa12ef,Makefile
48,https://github.com/pop-os/shell/commit/cc00d2fe47bfe2ac128c35a18d649c8899aa12ef,schemas/org.gnome.shell.extensions.pop-shell.gschema.xml
49,https://github.com/pop-os/shell/commit/cc00d2fe47bfe2ac128c35a18d649c8899aa12ef,src/gtk/color-dialog.js
50,https://github.com/pop-os/shell/commit/cc00d2fe47bfe2ac128c35a18d649c8899aa12ef,src/mod.d.ts
51,https://github.com/pop-os/shell/commit/cc00d2fe47bfe2ac128c35a18d649c8899aa12ef,src/panel_settings.ts
52,https://github.com/pop-os/shell/commit/cc00d2fe47bfe2ac128c35a18d649c8899aa12ef,src/settings.ts
53,https://github.com/pop-os/shell/commit/cc00d2fe47bfe2ac128c35a18d649c8899aa12ef,src/window.ts
54,https://github.com/pop-os/shell/commit/01c6e9ba9d0f64ab71de622c878e99678f53fc40,dark.css
55,https://github.com/pop-os/shell/commit/01c6e9ba9d0f64ab71de622c878e99678f53fc40,light.css
56,https://github.com/pop-os/shell/commit/01c6e9ba9d0f64ab71de622c878e99678f53fc40,schemas/org.gnome.shell.extensions.pop-shell.gschema.xml
57,https://github.com/pop-os/shell/commit/01c6e9ba9d0f64ab71de622c878e99678f53fc40,src/auto_tiler.ts
58,https://github.com/pop-os/shell/commit/2ced5e30f2250ed2205bc300895feeb9ef1d2b71,src/panel_settings.ts
59,https://github.com/pop-os/shell/commit/e82014ee29d3d18728945bb8b46b2e1ceffb28cd,src/extension.ts
60,https://github.com/pop-os/shell/commit/e82014ee29d3d18728945bb8b46b2e1ceffb28cd,src/panel_settings.ts
61,https://github.com/pop-os/shell/commit/1cf092b0a5cac6c70c027eb04dfa26f15c3edef2,src/extension.ts
62,https://github.com/pop-os/shell/commit/1cf092b0a5cac6c70c027eb04dfa26f15c3edef2,src/panel_settings.ts
63,https://github.com/pop-os/shell/commit/3baca058c14ecd7c0c256252f1139e502c2f6e9f,src/panel_settings.ts
64,https://github.com/pop-os/shell/commit/d5e5ac73ed910b908d6893677aba750f6db5bf76,icons/pop-shell-auto-off-symbolic.svg
65,https://github.com/pop-os/shell/commit/d5e5ac73ed910b908d6893677aba750f6db5bf76,icons/pop-shell-auto-on-symbolic.svg
66,https://github.com/pop-os/shell/commit/d5e5ac73ed910b908d6893677aba750f6db5bf76,icons/pop-shell-symbolic.svg
67,https://github.com/pop-os/shell/commit/d5e5ac73ed910b908d6893677aba750f6db5bf76,src/extension.ts
68,https://github.com/pop-os/shell/commit/d5e5ac73ed910b908d6893677aba750f6db5bf76,src/panel_settings.ts
69,https://github.com/pop-os/shell/commit/312188c453ef2ebe38fa8974c5dfb60b9ab29fe9,src/panel_settings.ts
70,https://github.com/pop-os/shell/commit/ff5f37434f078fa120537d9e154a538b523f1cea,src/extension.ts
71,https://github.com/pop-os/shell/commit/ff5f37434f078fa120537d9e154a538b523f1cea,src/panel_settings.ts
72,https://github.com/pop-os/shell/commit/21361f5b7f983957e62689869eb6b54d4a29e3a0,schemas/org.gnome.shell.extensions.pop-shell.gschema.xml
73,https://github.com/pop-os/shell/commit/21361f5b7f983957e62689869eb6b54d4a29e3a0,src/auto_tiler.ts
74,https://github.com/pop-os/shell/commit/21361f5b7f983957e62689869eb6b54d4a29e3a0,src/extension.ts
75,https://github.com/pop-os/shell/commit/21361f5b7f983957e62689869eb6b54d4a29e3a0,src/keybindings.ts
