"ClassName","fanIN","fanOut","lcom2","lcom3","numberOfAttributes","numberOfLinesOfCode","numberOfMethods"
"GraphQLWebSocketMessage","1","0","1.0","0.0","3","0","2"
"ReadableStream","0","0","1.0","1.25","1","0","5"
"AbortSignal","0","1","1.0","1.25","3","0","5"
"EventListenerObject","0","0","0.0","0.0","0","0","1"
"ReadableStreamReadValueResult","0","0","0.0","0.0","2","0","0"
"RawRequestMethod","0","0","0.0","0.0","0","0","0"
"File","0","1","0.0","0.0","2","0","0"
"GraphQLSubscriber","0","0","0.0","0.0","0","0","3"
"Response","0","1","0.0","0.0","5","0","0"
"Request","0","1","1.0","0.0","15","0","1"
"Event","1","0","1.0","1.25","17","0","5"
"Result","0","0","0.0","0.0","1","0","0"
"EventListenerOptions","1","0","0.0","0.0","1","0","0"
"RawRequest","0","0","0.0","0.0","0","0","0"
"BatchRequestsOptions","0","0","0.0","0.0","3","0","0"
"BatchRequestsExtendedOptions","0","0","0.0","0.0","1","0","0"
"ReadableStreamReadDoneResult","0","0","0.0","0.0","2","0","0"
"Body","2","0","1.0","1.25","2","0","5"
"URLSearchParams","0","0","0.0","0.0","0","0","8"
"RequestInit","0","0","0.0","0.0","17","0","0"
"ProgressEvent","0","1","0.0","0.0","3","0","0"
"BatchRequests","0","0","0.0","0.0","0","0","0"
"ClientError","0","0","1.0","0.0","2","0","2"
"WritableStreamDefaultWriter","0","0","1.0","1.3333333333333333","3","0","4"
"RequestVerbParams","0","0","0.0","0.0","8","0","0"
"ReadableStreamDefaultReader","0","0","1.0","1.5","1","0","3"
"StreamPipeOptions","0","0","0.0","0.0","4","0","0"
"GraphQLClient","1","0","1.0","1.25","1","0","6"
"Blob","1","0","1.0","1.3333333333333333","2","0","4"
"EventListener","0","0","0.0","0.0","0","0","0"
"GraphQLRequestContext","0","0","0.0","0.0","2","0","0"
"AbortSignalEventMap","0","0","0.0","0.0","1","0","0"
"GraphQLResponse","0","0","0.0","0.0","4","0","0"
"JsonSerializer","0","0","0.0","0.0","0","0","2"
"WritableStream","0","0","1.0","1.5","1","0","3"
"AddEventListenerOptions","0","1","0.0","0.0","2","0","0"
"EventTarget","1","0","0.0","0.0","0","0","3"
"GraphQLWebSocketClient","0","0","0.8095238095238095","0.9444444444444444","3","0","8"
"Headers","0","0","0.0","0.0","0","0","6"
"FormData","0","0","0.0","0.0","0","0","7"
"Response","0","0","1.0","0.0","8","0","1"
"ReadableWritablePair","0","0","0.0","0.0","2","0","0"
