"ClassName","fanIN","fanOut","lcom2","lcom3","numberOfAttributes","numberOfLinesOfCode","numberOfMethods"
"ListMarker","0","0","0.0","0.0","3","0","0"
"FontSize","0","0","0.0","0.0","2","0","0"
"ImageDefinition","0","0","0.0","0.0","9","0","0"
"Context","2","0","0.875","1.0","13","0","9"
"AuthOptions","0","0","0.0","0.0","4","0","0"
"ListDefinition","0","0","0.0","0.0","4","0","0"
"Stylesheet","0","0","0.0","0.0","0","0","0"
"TextDefinition","0","0","0.0","0.0","4","0","0"
"MarkdownRules","0","0","0.0","0.0","0","0","0"
"CssRule","0","0","0.0","0.0","0","0","0"
"StyleDefinition","0","0","0.0","0.0","13","0","0"
"VideoDefinition","0","0","0.0","0.0","4","0","0"
"VideoToken","0","0","0.0","0.0","2","0","0"
"BoundingBox","0","0","0.0","0.0","4","0","0"
"UserAuthorizer","0","0","0.5","1.0","5","0","3"
"TableDefinition","0","0","0.0","0.0","3","0","0"
"SlideGenerator","0","1","0.7115384615384616","0.7708333333333334","4","0","14"
"Dimensions","0","0","0.0","0.0","2","0","0"
"BodyDefinition","0","0","0.0","0.0","3","0","0"
"GenericLayout","1","0","0.6363636363636364","0.7","3","0","12"
"Rules","0","0","0.0","0.0","0","0","0"
"SlideDefinition","0","0","0.0","0.0","9","0","0"
"Layout","0","0","0.0","0.0","2","0","0"
"LinkDefinition","0","0","0.0","0.0","1","0","0"
"ImageSize","0","0","0.0","0.0","2","0","0"
