"ClassName","fanIN","fanOut","lcom2","lcom3","numberOfAttributes","numberOfLinesOfCode","numberOfMethods"
"StateA","0","0","0.0","0.0","1","0","0"
"Cache","0","0","0.0","0.0","0","0","4"
"StructuredSelectorCreator","0","0","0.0","0.0","0","0","0"
"StateA","0","0","0.0","0.0","1","0","0"
"StateSub","0","0","0.0","0.0","1","0","0"
"OutputSelectorFields","0","0","0.0","0.0","6","0","0"
"StateSub","0","0","0.0","0.0","1","0","0"
"CreateSelectorFunction","0","0","0.0","0.0","0","0","0"
"Entry","0","0","0.0","0.0","2","0","0"
"StateAB","0","0","0.0","0.0","2","0","0"
"DefaultMemoizeOptions","0","0","0.0","0.0","3","0","0"
"StateAB","0","0","0.0","0.0","2","0","0"
"CreateSelectorOptions","0","0","0.0","0.0","1","0","0"
