"ClassName","fanIN","fanOut","lcom2","lcom3","numberOfAttributes","numberOfLinesOfCode","numberOfMethods"
"WindowActor","0","1","0.0","0.0","0","0","1"
"Entry","0","1","1.0","2.0","1","0","2"
"Column","0","0","0.0","0.0","1","0","1"
"Config","0","0","0.7777777777777778","0.8333333333333334","3","0","15"
"Indicator","0","1","0.8571428571428571","0.0","7","0","2"
"Ok","0","0","0.0","0.0","2","0","0"
"Ok","0","0","0.0","0.0","2","0","0"
"X11Info","0","0","0.0","0.0","3","0","0"
"Settings","0","1","0.0","0.0","0","0","7"
"System","0","2","0.5","1.0","1","0","3"
"Workspace","0","1","1.0","1.2","1","0","6"
"ActorBox","0","0","0.0","0.0","0","0","0"
"SelectWindow","0","0","0.0","0.0","1","0","0"
"Box","0","1","0.0","0.0","0","0","1"
"Tab","0","0","0.0","0.0","5","0","0"
"DialogButtonAction","0","0","0.0","0.0","4","0","0"
"Arena","0","0","0.2","0.25","2","0","5"
"Display","0","1","0.0","0.0","0","0","9"
"Shortcut","0","0","0.5","0.0","2","0","2"
"Fill","0","0","0.0","0.0","1","0","0"
"GrabOp","0","0","0.5","0.0","2","0","2"
"GLib","0","0","1.0","1.1111111111111112","4","0","10"
"Widget","1","0","1.0","0.0","1","0","2"
"Launcher","0","0","0.85","0.9444444444444444","8","0","11"
"SearchOption","0","0","0.0","0.0","2","0","0"
"FloatRule","0","0","0.0","0.0","2","0","0"
"SwitchTo","0","0","0.0","0.0","2","0","0"
"Executor","1","0","0.0","0.0","0","0","1"
"Request","0","0","0.0","0.0","2","0","0"
"Window","0","0","0.0","0.0","1","0","0"
"GenericCallback","0","0","0.0","0.0","3","0","0"
"Forest","5","1","0.8754208754208754","0.9027777777777778","9","0","34"
"Label","0","1","0.0","0.0","1","0","0"
"ShellWindow","3","2","0.9145299145299145","0.9385964912280702","18","0","40"
"Widget","8","1","0.0","0.0","0","0","12"
"MainView","2","2","0.3333333333333333","0.0","3","0","2"
"Keybindings","0","1","0.8333333333333334","1.6666666666666667","3","0","3"
"StackWidgets","0","0","0.0","0.0","1","0","0"
"ManagedWindow","0","0","0.0","0.0","3","0","0"
"Error","0","0","0.0","0.0","2","0","0"
"Display","0","0","0.0","0.0","2","0","0"
"MoveByKeyboard","0","0","0.0","0.0","1","0","0"
"ExceptionsView","2","2","0.3333333333333333","0.0","3","0","2"
"Ext","19","1","0.9640425531914893","0.9737803567590801","47","0","101"
"OnceCell","0","0","0.0","0.0","1","0","2"
"Service","0","0","0.9","0.0","10","0","2"
"SearchResult","0","0","0.0","0.0","6","0","0"
"Tiler","0","4","0.8518518518518519","0.8846153846153846","6","0","28"
"Update","0","0","0.0","0.0","1","0","0"
"Context","0","0","0.0","0.0","1","0","0"
"ContextOption","0","0","0.0","0.0","2","0","0"
"LauncherService","0","0","0.7777777777777778","0.875","1","0","10"
"ToggleException","0","0","0.0","0.0","4","0","0"
"ExtensionSettings","0","0","0.75625","0.7756410256410257","4","0","40"
"Stack","0","2","0.8225806451612904","0.85","16","0","32"
"NodeFork","0","0","0.0","0.0","2","0","0"
"World","1","1","0.7222222222222222","0.8125","4","0","10"
"GlobalEventTag","0","0","0.0","0.0","2","0","0"
"CreateWindow","0","0","0.0","0.0","2","0","0"
"MoveByAuto","0","0","0.0","0.0","1","0","0"
"NodeStack","0","0","0.0","0.0","4","0","0"
"Search","0","1","0.8907563025210085","0.9592760180995475","17","0","15"
"DesktopEntryR","0","0","0.0","0.0","1","0","0"
"NodeWindow","0","0","0.0","0.0","2","0","0"
"DesktopEntry","0","0","0.0","0.0","2","0","0"
"FocusSelector","0","1","0.0","0.0","0","0","5"
"Error","0","0","0.6666666666666666","1.0","2","0","4"
"Window","0","1","1.0","1.0285714285714285","4","0","36"
"View","2","0","0.0","0.0","2","0","0"
"Bin","0","1","0.0","0.0","0","0","0"
"Rectangular","2","0","0.0","0.0","4","0","0"
"Button","1","1","0.0","0.0","0","0","1"
"Rectangle","2","0","0.8888888888888888","1.0","1","0","10"
"Icon","0","1","0.0","0.0","1","0","0"
"Object","5","0","0.0","0.0","0","0","3"
"GLibExecutor","1","1","0.0","0.0","2","0","1"
"Actor","4","1","1.0","1.04","4","0","26"
"Node","0","1","0.375","0.42857142857142855","1","0","9"
"ChannelExecutor","0","0","0.375","0.5","2","0","4"
"Container","1","1","0.0","0.0","0","0","3"
"Global","0","0","1.0","1.2","6","0","6"
"AddExceptionDialog","0","0","0.0","0.0","1","0","4"
"Fork","2","2","0.84765625","0.9041666666666667","16","0","17"
"Err","0","0","0.0","0.0","2","0","0"
"MoveByCursor","0","0","0.0","0.0","2","0","0"
"Section","0","0","0.0","0.0","2","0","1"
"App","0","2","0.0","0.0","5","0","1"
"WindowRule","0","0","0.0","0.0","3","0","0"
"WindowManager","0","1","0.0","0.0","0","0","0"
"Injection","0","0","0.0","0.0","3","0","0"
"AppWidgets","0","0","0.0","0.0","11","0","0"
"TabButton","0","1","0.0","0.0","1","0","0"
"FloatRule","0","0","0.0","0.0","3","0","0"
"SearchOption","1","0","0.0","0.0","6","0","1"
"ModalDialog","0","1","1.0","1.3333333333333333","2","0","4"
"WorkspaceManager","0","1","0.0","0.0","0","0","7"
"Text","0","1","0.0","0.0","0","0","2"
"AutoTiler","1","0","0.4074074074074074","0.4230769230769231","2","0","28"
"OnceExecutor","0","0","0.25","0.5","2","0","3"
"Name","0","0","0.0","0.0","1","0","0"
"Monitor","0","1","0.0","0.0","1","0","0"
"Storage","1","0","0.5833333333333334","0.6363636363636364","1","0","13"
"RemoveException","0","0","0.0","0.0","3","0","0"
"Dialog","0","1","0.0","0.0","2","0","0"
"SizeHint","0","0","0.0","0.0","3","0","0"
"Movement","0","0","0.0","0.0","1","0","0"
"Basic","0","0","0.0","0.0","2","0","0"
"Mime","0","0","0.0","0.0","1","0","0"
